Measurement Name :,1372022_Montip_High_RUN3_SDR641,,Generated On :,"13/07/2022, 14:37:08",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
13.07.22 13:54:39,18.28,94.15,97.71,100.63,101.73,110.98,106.57,113.67,112.07,128.35,95.05,61.53,107.8,111.66,112.35,96.89,118.9,108.62,88.68,136.97,103.73,122.37,101.32,102.12,102.71,,30.5,965,37,31.15,965D6-(E1);
13.07.22 13:54:54,18.53,78.37,75.68,70.02,89.42,80.26,87.28,104.57,116.66,100.76,72.5,69.03,91.82,85.78,112.19,83.99,94.24,85.76,86.78,80.76,93.29,93.62,110.54,76.26,97.63,,30.5,965,37,31.16,965D6-(E1);
13.07.22 13:55:09,18.78,115.07,112.57,87.22,117.16,108.29,114.71,136.27,121.62,104.27,79.69,53.22,113.85,97.56,111.71,104.76,131.58,107.39,109.55,120.69,108.63,97.11,108.45,93.95,105.81,,30.5,965,37,31.19,965D6-(E1);
13.07.22 13:55:24,19.03,97.58,81.62,91.3,97.16,91.73,77.7,101.79,93.36,96.03,73,48.78,95.53,113.29,122.21,78.59,95.2,88.68,79.83,112.12,97.34,105.19,123.42,92.27,103.1,,30.5,965,37,31.21,965D6-(E1);
13.07.22 13:55:39,19.28,123.24,99.04,86.67,106.64,105.21,101.32,128.56,108.96,117.02,80.72,59,122.23,125.26,145.99,99.28,115.33,122.24,83.55,111.53,113.06,125.34,109.84,91.76,101.82,,30.5,965,37,31.22,965D6-(E1);
13.07.22 13:55:54,19.53,115.07,89.48,101.91,102.54,100.78,103.59,114.58,104.49,97.13,85.5,53.9,133.13,109.5,112.67,82.33,126.93,109.72,95.57,99.63,103.6,93.75,109.28,80.17,87.16,,30.5,965,37,31.26,965D6-(E1);
13.07.22 13:56:09,19.78,122.19,89.48,102.33,95.44,93.86,97.61,110.66,105.33,94.78,90.9,59.69,95.26,90.73,100.61,87.82,105.88,103.19,90.6,102.78,113.76,107.42,114.77,79.8,98.01,,30.5,965,37,31.26,965D6-(E1);
13.07.22 13:56:24,20.03,112.01,86.79,87.08,83.41,90.8,114.29,114.73,100.51,91.98,74.88,55.81,118.3,99.75,123.03,99.4,112.69,89.83,78.78,109.31,100.92,107,97.03,74.57,90.32,,30.5,965,37,31.29,965D6-(E1);
13.07.22 13:56:39,20.28,115.51,81.37,87.62,92.42,98.05,94.6,88.95,99.42,106.2,77.66,43.87,87.9,89.86,125.51,75.48,111.37,101.85,88.96,125.76,107.94,87.55,97.69,71.21,86.92,,30.5,965,37,31.32,965D6-(E1);
13.07.22 13:56:54,20.53,121.44,93.63,115.57,128.69,124.38,101.45,114.73,127.41,110.91,79.06,49.67,115.13,108.56,144.94,99.66,128.01,106.43,83.69,107.41,117.84,113.37,108.87,95.91,86.2,,30.5,965,37,31.33,965D6-(E1);
13.07.22 13:57:09,20.78,93.61,89.74,80,92.94,97.23,96.29,108.12,109.95,103.47,87.6,45.17,109.47,91.86,91.96,97.14,97.28,92.14,78.12,111.82,85.36,106.03,91.62,86.66,105.42,,30.5,965,37,31.36,965D6-(E1);
13.07.22 13:57:24,21.03,100.77,93.89,108.66,123.67,122.74,114.71,130.95,117.53,123.74,90.9,65.02,112.15,103.79,139.89,102.32,138.84,99.06,100.06,111.53,113.48,101.88,101.32,88.56,108.03,,30.5,965,37,31.38,965D6-(E1);
13.07.22 13:57:39,21.28,118.9,106.2,107.79,112.63,121.71,104.67,127.61,128.77,109.93,86.42,64.67,139.76,97.56,135.59,93.17,113.42,109.03,100.49,133.77,124.16,90.83,121.23,93.69,111.32,,30.5,965,37,31.4,965D6-(E1);
13.07.22 13:57:54,21.53,117.13,90.77,107.94,108.85,97.37,107.11,115.04,113.64,99.65,96.27,63.73,121.93,91.35,125.51,89.14,121.6,108.07,100.06,120.23,106.17,99.28,102.54,90.22,108.95,,30.5,965,37,31.43,965D6-(E1);
13.07.22 13:58:09,21.78,93.2,96.39,85.33,82.65,107.3,108.34,114.12,102.97,117.85,89.71,44.2,112.86,93.11,121.06,83.87,90.14,102.65,84.9,133.13,102.25,97.11,100.92,83.15,98.14,,30.5,965,37,31.46,965D6-(E1);
13.07.22 13:58:24,22.03,138.06,114.67,123.41,109.55,143.63,109.44,142.19,135.01,112.22,103.13,72.86,136.66,132.18,127.83,131.49,115.19,126.15,124.22,146.44,122.27,116.24,133.86,117.8,132.46,,30.5,965,37,31.49,965D6-(E1);
13.07.22 13:58:39,22.28,117.57,86.03,90.48,107.47,101.05,87.91,120.41,130.73,121.2,91.3,56.04,115.13,99.88,126.67,109.84,113.42,119.8,86.38,125.45,117.7,100.51,101.19,80.91,108.68,,30.5,965,37,31.51,965D6-(E1);
13.07.22 13:58:54,22.53,126.42,110.34,114.24,121.63,128.13,119.52,113.06,112.64,114.86,89.71,68.08,135.27,113.7,134.4,116.9,130.95,110.68,102.91,105.96,116.85,115.38,101.32,95.91,107.5,,30.5,965,37,31.54,965D6-(E1);
13.07.22 13:59:09,22.78,110.13,91.29,96.56,116.02,103.26,99.46,123.67,100.37,120.19,83.55,63.38,111.3,113.97,96.03,93.17,113.71,87.15,83.42,128.25,129.87,109.25,103.36,92.92,104.9,,30.5,965,37,31.57,965D6-(E1);
13.07.22 13:59:24,23.03,135.07,103.21,110.27,118.45,114.27,100.78,123.83,110.65,113.05,87.07,65.02,104.75,104.32,136.45,91.82,125.09,85.26,88.68,110.34,116.71,123.85,105.55,84.27,99.4,,30.5,965,37,31.58,965D6-(E1);
13.07.22 13:59:39,23.28,108.26,103.07,107.07,126.32,112.12,111.65,121.8,102.7,128.86,112.01,63.85,102.01,93.49,145.64,122.64,114.15,110.4,105.49,147.1,101.05,124.6,113.92,94.6,99.53,,30.5,965,37,31.6,965D6-(E1);
13.07.22 13:59:54,23.53,143.81,88.07,96.42,110.8,106.18,115.7,116.56,105.46,113.05,89.71,55.81,125.17,100.66,151.31,111.15,102.61,103.46,101.2,113.01,101.05,104.91,111.24,92.01,108.16,,30.5,965,37,31.63,965D6-(E1);
13.07.22 14:00:09,23.78,105.56,95.47,102.33,97.03,98.18,100.52,136.44,93.76,104.91,91.7,63.38,97.14,88.86,114.27,99.28,118.75,98.27,85.3,137.29,103.73,120.31,106.93,95.12,111.59,,30.5,965,37,31.65,965D6-(E1);
13.07.22 14:00:24,24.03,129.17,96.92,108.37,107.19,117.31,118.52,142.69,118.11,139.52,105.78,71.78,102.41,122.57,133.04,146.49,128.32,126.01,118.6,113.45,128.4,118.42,120.21,98.4,122.44,,30.5,965,37,31.65,965D6-(E1);
13.07.22 14:00:39,24.28,111.43,99.31,104.91,92.94,118.33,94.73,108.12,106.72,104.27,80.85,68.32,95.66,78.41,124.51,79.75,143.83,101.72,94.74,122.22,106.17,104.64,106.65,100.25,107.37,,30.5,965,37,31.68,965D6-(E1);
13.07.22 14:00:54,24.53,128.41,121.53,107.94,143.05,123.19,127.62,153.67,126.21,115.36,90.64,88.37,149.09,124.83,132.03,120.3,156.6,139.46,119.2,150.78,131.96,122.08,115.62,120.36,138.43,,30.5,965,37,31.71,965D6-(E1);
13.07.22 14:01:09,24.78,99.52,94.94,103.76,99.44,97.91,105.08,119.02,108.68,100.44,58.42,63.15,99.02,104.58,117.65,97.39,116.67,91.88,85.16,122.68,107.12,100.78,111.66,79.19,102.71,,30.5,965,37,31.72,965D6-(E1);
13.07.22 14:01:24,25.03,115.22,115.1,120.22,125.58,125.27,110.82,134.16,143.61,125.27,98.04,67.49,110.6,104.19,139.89,107.35,132.67,110.13,97.67,130.45,129.43,97.24,110.82,94.21,113.59,,30.5,965,37,31.72,965D6-(E1);
13.07.22 14:01:39,25.28,104.99,91.68,90.75,106.5,96.01,112.48,112.31,101.46,111.24,83.55,62.22,111.72,81.65,141.79,83.4,104.17,85.76,72.78,103.64,119.98,99.82,98.23,79.19,92.16,,30.5,965,37,31.75,965D6-(E1);
13.07.22 14:01:54,25.53,101.47,93.63,73.61,90.72,107.87,89.19,111.41,101.19,107.33,74.63,54.35,96.2,79.72,133.72,75.82,110.21,99.59,84.36,119.32,102.93,86.38,94.11,73.24,95.38,,30.5,965,37,31.76,965D6-(E1);
13.07.22 14:02:09,25.78,121.29,90.77,90.48,91.76,97.09,98.66,126.18,97.79,96.19,79.82,48.45,115.71,96.28,112.35,89.75,111.08,90.59,90.32,114.95,93.42,104.5,106.1,79.31,98.14,,30.5,965,37,31.78,965D6-(E1);
13.07.22 14:02:24,26.03,111.58,101.99,113.5,106.78,105.07,104.13,117.63,120.15,131.97,87.47,72.62,124.29,112.47,147.22,103.47,143.02,109.3,108.53,132.18,127.07,122.52,109.56,91.11,115.34,,30.5,965,37,31.79,965D6-(E1);
13.07.22 14:02:39,26.28,106.27,113.69,96,96.1,113.7,107.93,119.17,111.79,133.54,83.04,74.19,129.5,76.51,134.91,89.02,116.81,105.89,81.55,110.79,109.87,94.55,108.31,91.63,122.44,,30.5,965,37,31.8,965D6-(E1);
13.07.22 14:02:54,26.53,91.31,84.89,85.73,123.97,87.63,95.51,130.79,99.96,106.04,91.7,44.74,87.13,88.61,116.68,81.63,116.81,96.29,94.04,109.31,121.27,96.03,105.55,84.4,94.13,,30.5,965,37,31.82,965D6-(E1);
13.07.22 14:03:09,26.78,120.69,93.11,84.12,95.7,103.12,96.56,112.91,112.5,108.14,86.42,61.18,116.86,87.87,111.08,82.22,111.08,94.21,90.87,105.66,104.27,102.15,99.97,82.9,98.01,,30.5,965,37,31.82,965D6-(E1);
13.07.22 14:03:24,27.03,118.61,83.88,100.07,93.99,99.41,104.81,116.41,105.74,101.24,69.29,55.14,118.88,99.62,116.68,99.03,128.32,92.27,82.35,99.77,108.22,98.33,103.9,77.6,103.23,,30.5,965,37,31.83,965D6-(E1);
13.07.22 14:03:39,27.28,121.74,88.33,91.85,113.33,101.05,98.53,105.75,114.21,108.79,88.78,56.04,106.13,97.82,108.7,99.66,107.32,106.71,84.22,145.28,94.85,110.1,101.59,77.48,96.13,,30.5,965,37,31.86,965D6-(E1);
13.07.22 14:03:54,27.53,119.65,85.01,99.78,104.17,103.4,100.65,116.87,101.6,105.56,96.81,72.62,118.73,100.66,131.35,107.09,121.15,93.82,87.87,130.13,103.06,108.4,121.08,90.22,99.78,,30.5,965,37,31.86,965D6-(E1);
13.07.22 14:04:09,27.78,103.16,86.92,101.2,105.54,98.05,107.25,110.21,102.56,86.6,66.23,52.55,96.2,103.01,138.68,78.71,111.22,85.64,85.03,100.06,115.86,94.29,107.48,79.19,98.14,,30.5,965,37,31.86,965D6-(E1);
13.07.22 14:04:24,28.03,111.43,84.38,78.82,96.77,103.68,102.65,124.61,114.79,101.56,63.44,44.85,118.88,80.32,107.45,93.3,137.4,97.08,96.27,113.9,110.56,107.7,106.93,83.4,108.68,,30.5,965,37,31.88,965D6-(E1);
13.07.22 14:04:39,28.28,125.36,82.12,77.25,89.42,85.93,83.51,96.44,92.43,66.91,77.91,46.92,89.07,82.01,121.55,71.04,102.18,94.73,82.89,83.44,92.64,75.17,98.09,71.57,78.04,,30.5,965,37,31.86,965D6-(E1);
13.07.22 14:04:54,28.53,114.78,78.39,90.75,102.27,116.58,94.99,98.31,105.74,100.28,83.68,57.74,129.35,93.62,129.84,81.04,99.93,94.08,91.97,132.18,108.49,101.19,102,86.28,93.89,,30.5,965,37,31.89,965D6-(E1);
13.07.22 14:05:09,28.78,124.6,91.94,117.66,99.17,108.15,104.13,101.5,116.23,103.31,80.97,51.55,110.74,109.37,145.11,110.36,136.93,109.3,94.46,123.29,90.19,105.19,122.39,77.97,114.26,,30.5,965,37,31.88,965D6-(E1);
13.07.22 14:05:24,29.03,100.91,91.55,116.62,132.74,115.28,101.18,132.87,136.71,118.85,84.59,55.25,124.58,90.6,128,102.83,138.36,126.59,83.69,116.3,154.47,131.21,98.09,84.9,129.89,,30.5,965,37,31.89,965D6-(E1);
13.07.22 14:05:39,29.28,108.98,83.5,84.52,97.83,105.34,101.85,110.36,131.04,104.91,91.97,59.11,121.79,86.76,129.67,97.9,118.15,99.32,85.3,102.49,112.78,96.57,106.79,87.54,106.46,,30.5,965,37,31.9,965D6-(E1);
13.07.22 14:05:54,29.53,112.3,95.86,120.98,112.63,105.21,114.01,130.63,102.01,116.85,89.97,63.5,103.24,82.61,131.86,101.18,129.09,99.99,88.96,106.25,105.63,95.22,117.76,79.31,103.35,,30.5,965,37,31.9,965D6-(E1);
13.07.22 14:06:09,29.78,98,88.33,86,98.23,105.07,105.08,107.97,120.15,100.76,85.37,57.51,117.43,97.95,139.72,81.98,108.47,104.4,95.71,106.1,97.47,116.67,102,81.9,102.97,,30.5,965,37,31.9,965D6-(E1);
13.07.22 14:06:24,30.03,122.34,88.07,106.92,124.55,118.62,115.41,125.71,133.48,119.86,87.07,68.32,117.14,110.85,141.45,120.3,129.4,90.72,97.81,88.88,117.41,113.8,118.48,89.71,112.92,,30.5,965,37,31.91,965D6-(E1);
13.07.22 14:06:39,30.28,86.62,88.71,92.4,101.46,103.26,93.04,109.01,112.07,96.81,76.9,44.96,103.1,98.46,119.92,84.58,104.6,78.44,80.23,98.5,105.08,106.58,116.76,81.04,89.22,,30.5,965,37,31.91,965D6-(E1);
13.07.22 14:06:54,30.53,120.09,90.39,114.24,97.16,108.57,95.64,103.1,99.96,110.91,94.92,36.94,117.72,75.1,116.84,85.3,102.47,126.59,87.87,103.78,124.74,128.04,112.36,85.78,109.21,,30.5,965,37,31.91,965D6-(E1);
13.07.22 14:07:09,30.78,91.17,57.48,81.06,61.3,94.4,80.16,70.25,77.7,114.03,80.85,48.12,112.86,95.77,98.77,100.8,105.02,84.76,83.15,96.1,99.98,82.51,80.48,62.31,94.51,,30.5,965,37,31.93,965D6-(E1);
13.07.22 14:07:24,31.03,119.2,98.51,102.62,117.59,100.5,114.43,111.56,122.95,115.03,96,52.33,139.91,98.08,128.84,80.57,129.71,95.12,85.57,143.96,119.26,111.94,117.48,88.81,102.58,,30.5,965,37,31.93,965D6-(E1);
13.07.22 14:07:39,31.28,120.39,86.28,100.35,93.86,100.37,98.79,130.47,122.06,84.32,78.67,49.56,114.56,116.02,139.89,89.75,109.63,97.48,92.66,109.76,117.27,108.4,91.09,76.5,104.77,,30.5,965,37,31.93,965D6-(E1);
13.07.22 14:07:54,31.53,94.15,69.63,80.66,93.99,82.05,82.88,97.59,94.03,85.23,73.5,35.79,117,72.41,106.66,88.42,96.86,80.53,79.44,84.25,102.52,81.87,89.92,58.87,99.53,,30.5,965,37,31.93,965D6-(E1);
13.07.22 14:08:09,31.78,102.31,85.78,79.34,96.5,91.86,101.72,107.97,96.3,98.39,85.89,49,99.15,85.53,109.49,76.51,109.48,89.83,72.14,114.2,100.25,103.11,94.24,78.7,96.63,,30.5,965,37,31.91,965D6-(E1);
13.07.22 14:08:24,32.03,110.13,98.38,106.35,103.63,107.16,86.4,105.45,128.46,126.12,87.73,61.3,93.41,89.61,111.39,89.75,128.32,101.05,92.8,110.34,110.7,109.67,102.68,80.79,108.16,,30.5,965,37,31.93,965D6-(E1);
13.07.22 14:08:39,32.28,98.14,77.65,89.8,101.05,91.06,105.35,99.18,95.9,100.6,82.13,48.34,93.14,82.01,95.72,92.31,112.54,90.85,77.59,94.55,106.17,93.75,110.26,65.78,102.84,,30.5,965,37,31.93,965D6-(E1);
13.07.22 14:08:54,32.53,119.94,99.85,106.78,124.7,107.45,127.47,117.33,116.23,107.01,82.78,53.45,114.99,106.7,135.25,99.28,127.55,121.09,93.35,110.2,119.41,110.52,115.48,93.05,117.23,,30.5,965,37,31.91,965D6-(E1);
13.07.22 14:09:09,32.78,111.86,88.2,104.76,113.33,103.95,114.01,111.86,103.39,144.16,91.17,52,112.01,103.53,137.82,99.91,136.45,98.13,95.99,113.6,128.4,108.55,106.93,74.57,114.93,,30.5,965,37,31.93,965D6-(E1);
13.07.22 14:09:24,33.03,105.13,93.89,76.72,86.08,102.15,87.91,101.93,118.26,99.49,82,42.9,120.77,110.31,120.74,86.61,95.06,103.33,90.18,79.69,93.03,103.53,89.66,66.95,95.25,,30.5,965,37,31.93,965D6-(E1);
13.07.22 14:09:39,33.28,103.3,90.26,93.78,93.99,109.7,98.27,99.03,119.27,98.7,68.06,42.9,102.96,88.74,113.63,82.45,107.03,93.3,80.1,95.4,112.36,91.76,109.28,75.65,101.69,,30.5,965,37,31.93,965D6-(E1);
13.07.22 14:09:54,33.53,115.07,89.48,103.19,119.6,110.7,107.25,103.25,124.87,125.1,75.51,56.15,114.14,95.9,132.88,94.41,118,110.13,91.69,134.41,114.88,108.83,109,81.04,108.42,,30.5,965,37,31.91,965D6-(E1);
13.07.22 14:10:09,33.78,114.34,93.76,96.42,113.33,102.71,104.13,118.86,94.56,102.83,92.9,53.11,117.14,105.51,115.07,108.66,133.45,100.92,82.62,103.21,108.63,107.14,106.1,76.14,105.55,,30.5,965,37,31.91,965D6-(E1);
13.07.22 14:10:24,34.03,109.56,80.99,95.02,98.1,106.46,98.93,107.67,116.66,100.13,75.64,47.9,89.72,100.92,118.62,87.09,120.25,95.38,71.88,89.98,104.27,95.22,119.64,79.19,109.47,,30.5,965,37,31.93,965D6-(E1);
13.07.22 14:10:39,34.28,111.58,85.01,88.84,92.55,92.92,97.87,108.56,104.08,109.28,75.01,50.55,107.66,86.64,112.51,82.33,113.71,104.67,78.51,116.3,106.85,92.29,94.64,80.67,106.98,,30.5,965,37,31.93,965D6-(E1);
13.07.22 14:10:54,34.53,114.78,103.48,131.3,110.66,105.34,113.6,113.37,128.92,101.08,78.42,51.55,121.5,87.01,130.68,94.9,112.69,105.21,107.37,127.31,115.44,117.98,121.23,101.58,128.61,,30.5,965,37,31.91,965D6-(E1);
13.07.22 14:11:09,34.78,105.7,82.74,99.36,116.59,102.98,107.11,93.03,123.24,106.04,84.07,36.63,111.44,100.92,130.01,74.1,105.74,96.95,103.05,129.97,124.88,121.19,93.98,78.09,101.94,,30.5,965,37,31.91,965D6-(E1);
13.07.22 14:11:24,35.03,108.84,88.45,89.8,102.27,99.96,100.25,106.19,104.77,102.83,75.13,40.87,103.78,85.53,110.28,84.47,108.47,93.56,79.04,90.67,101.72,100.1,99.7,69.9,95.75,,30.5,965,37,31.9,965C3-(E1);
13.07.22 14:11:39,35.28,108.69,88.33,89.39,102.27,99.68,100.38,105.75,104.49,102.99,75.01,40.76,103.51,85.53,110.13,85.18,108.47,93.56,78.91,90.39,101.45,99.96,99.7,69.66,95.88,,30.5,965,37,31.86,965C3-(E1);
13.07.22 14:11:54,35.53,108.41,87.81,89.25,102.27,99.41,100.38,105.45,104.36,102.51,74.25,40.33,103.24,85.29,109.97,84.7,108.18,93.43,78.65,89.98,101.32,99.69,99.57,69.07,95.63,,30.5,965,37,31.83,965C3-(E1);
13.07.22 14:12:09,35.78,108.26,87.56,89.11,101.86,99.27,100.52,105.45,104.08,102.19,73.5,40.01,103.1,85.17,109.18,83.99,108.18,93.43,78.12,89.7,101.32,99.96,99.3,68.6,95.38,,30.5,965,37,31.79,965C3-(E1);
13.07.22 14:12:24,36.03,107.98,87.05,89.11,102,99.27,100.38,105.3,104.36,102.51,73.38,40.01,103.24,85.05,109.02,83.52,108.18,93.43,78.38,89.56,101.05,100.23,99.7,68.36,95.13,,30.5,965,37,31.75,965C3-(E1);
13.07.22 14:12:39,36.28,107.84,86.92,88.84,101.59,99,99.99,104.86,103.94,101.71,73,39.8,103.24,84.92,108.7,83.52,107.89,93.43,78.12,89.15,101.05,100.23,99.43,67.89,95.13,,30.5,965,37,31.71,965C3-(E1);
13.07.22 14:12:54,36.53,107.55,86.79,88.3,101.46,98.59,99.59,104.42,103.8,101.87,72.38,39.59,102.96,84.68,108.23,82.45,107.75,93.04,77.73,88.6,100.65,99.96,99.43,67.66,94.88,,30.5,965,37,31.68,965C3-(E1);
13.07.22 14:13:09,36.78,107.41,86.67,88.57,101.73,98.45,99.06,104.27,103.8,101.56,72.01,39.27,102.83,84.31,107.92,82.57,107.6,93.04,77.46,88.19,100.65,100.1,99.43,66.95,95,,30.5,965,37,31.65,965C3-(E1);
13.07.22 14:13:24,37.03,107.26,86.54,88.43,101.46,98.59,99.32,103.83,103.8,101.56,71.51,39.27,102.55,84.44,107.45,82.33,107.46,92.91,77.46,87.92,100.25,99.96,99.03,66.72,94.88,,30.5,965,37,31.63,965C3-(E1);
13.07.22 14:13:39,37.28,107.26,86.41,88.3,101.46,98.59,98.66,103.83,103.53,101.24,71.76,38.84,102.28,83.95,106.82,82.1,107.32,92.65,77.33,87.51,100.25,99.82,99.17,66.25,94.51,,30.5,965,37,31.61,965C3-(E1);
13.07.22 14:13:54,37.53,107.26,86.03,88.3,101.19,98.05,98.27,103.83,103.53,101.24,72.26,38.84,102.41,83.83,106.51,81.51,107.17,92.78,77.07,87.23,100.25,100.1,99.03,65.67,94.63,,30.5,965,37,31.57,965C3-(E1);
13.07.22 14:14:09,37.78,107.12,85.78,87.89,101.05,97.09,98,103.39,103.11,100.92,72.01,38.53,102.28,83.58,106.04,81.51,106.88,92.27,76.94,86.69,100.12,99.82,99.03,64.97,94.51,,30.5,965,37,31.54,965C3-(E1);
13.07.22 14:14:24,38.03,107.41,85.65,88.16,101.32,97.09,97.34,103.39,103.66,101.08,72.38,38.63,102.14,83.7,105.72,81.51,107.17,92.27,77.2,86.28,100.25,100.23,99.3,64.74,94.63,,30.5,965,37,31.54,965C3-(E1);
13.07.22 14:14:39,38.28,106.98,85.27,87.62,100.92,97.09,96.43,102.81,102.84,100.44,72.01,38.21,102.01,83.46,105.26,80.69,106.74,91.88,76.68,85.87,99.85,99.69,99.03,64.27,94.26,,30.5,965,37,31.51,965C3-(E1);
13.07.22 14:14:54,38.53,106.55,85.27,87.49,100.78,96.96,95.9,102.81,102.84,100.28,72.01,38,101.87,83.46,104.63,80.69,106.45,91.88,76.55,85.47,99.72,99.82,98.76,63.92,94.26,,30.5,965,37,31.47,965C3-(E1);
