Task,XXXX,,,,,,,,,
Scope 1/1,Sample 1/9 (Junk3),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t ,E,T,dV/dt ,dE/dV ,log dE/dV ,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,64.5,18.9,NaN,,,,,,
0.02,28,-33.5,19,0.0005,,,,,,
0.04,58,-59.5,19,0.0005,,,,,,
0.0865,61,-60,19,0.016,,,,,,
0.2025,91,-40.1,19,0.004,,,,,,
0.246,121,-23.2,19,0.0015,,,,,,
0.266,146,-15.2,19,0.001,,,,,,
0.3055,163,-10.3,19,0.0025,,,,,,
0.4045,184,-1.4,19,0.0045,,,,,,
0.6045,214,12.2,19,0.0065,17.34,1.24,,,,NaN
0.8045,244,26.6,19,0.0065,65.37,1.82,,,,NaN
1.0045,275,47.1,19,0.0065,259.44,2.41,,,,NaN
1.1265,305,76.6,19,0.004,447.51,2.65,,,,NaN
1.1545,335,100.2,19,0.001,483.01,2.68,,,,NaN
1.170891,,117.1,,,600.89,,,,,NaN
1.1745,479,120.8,19,0,478.43,2.68,,,,NaN
1.1945,507,130.3,19,0.0005,502.27,2.7,,,,NaN
1.231,535,149.6,19,0.0015,551.73,2.74,,,,NaN
1.251,553,158.6,18.9,0.001,390.38,2.59,,,,NaN
1.2725,568,166.7,18.9,0.0015,336.85,2.53,,,,NaN
1.2975,582,173.8,18.9,0.002,284.68,2.45,,,,NaN
1.334,594,181.7,18.9,0.003,232.73,2.37,,,,NaN
1.383,605,189.8,18.9,0.0045,172.56,2.24,,,,NaN
1.4465,615,197.6,18.9,0.0065,,,,,,
1.5345,623,205.5,18.9,0.0105,,,,,,
1.656,632,213.4,18.9,0.014,,,,,,
1.824,640,221.5,18.9,0.0215,,,,,,
2.024,647,228.5,18.9,0.0295,,,,,,
Scope 1/1,Sample 1/9 (1_C_Sq1_20220706),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t ,E,T,dV/dt ,dE/dV ,log dE/dV ,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,79.8,18.8,NaN,,,,,,
0.02,28,0.6,18.8,0.0005,,,,,,
0.04,58,-35.3,18.8,0.0005,,,,,,
0.06,80,-43.2,18.8,0.001,,,,,,
0.11,84,-43.6,18.8,0.0135,,,,,,
0.235,114,-24.3,18.8,0.004,,,,,,
0.2885,144,-11.8,18.8,0.002,,,,,,
0.334,168,-3.8,18.8,0.002,,,,,,
0.448,173,-0.4,18.8,0.0215,,,,,,
0.648,204,12.8,18.8,0.0065,30.87,1.49,,,,NaN
0.848,234,26.3,18.8,0.0065,73.75,1.87,,,,NaN
1.048,264,46.4,18.8,0.0065,251.94,2.4,,,,NaN
1.1745,294,78.5,18.8,0.004,424.66,2.63,,,,NaN
1.1995,324,101.4,18.8,0.001,456.59,2.66,,,,NaN
1.215539,,114.8,,,570,,,,,NaN
1.2195,468,118.1,18.8,0,454.42,2.66,,,,NaN
1.2395,494,126.3,18.8,0.001,482.02,2.68,,,,NaN
1.2795,523,146.5,18.8,0.0015,518.36,2.71,,,,NaN
1.2995,542,155.6,18.8,0.001,377.83,2.58,,,,NaN
1.3195,558,163.1,18.8,0.0015,334.68,2.52,,,,NaN
1.3455,572,171.1,18.8,0.002,284.5,2.45,,,,NaN
1.3765,584,178.4,18.8,0.0025,243.84,2.39,,,,NaN
1.421,594,186.3,18.8,0.0045,186.95,2.27,,,,NaN
1.4805,604,194.5,18.8,0.006,140.52,2.15,,,,
1.557,613,202.1,18.8,0.0085,,,,,,
1.667,621,210,18.8,0.0135,,,,,,
1.8195,629,218.1,18.8,0.019,,,,,,
2.0195,637,225.8,18.8,0.025,,,,,,
2.2195,644,231.7,18.8,0.027,,,,,,
Scope 1/1,Sample 1/9 (2_C_Sq1_20220706),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t ,E,T,dV/dt ,dE/dV ,log dE/dV ,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
1.1995,350,107.6,18.7,0.0005,437.71,2.64,,,,
0,0,79.2,18.6,NaN,,,,,,
0.02,28,-0.9,18.6,0.0005,,,,,,
0.04,58,-36.7,18.6,0.0005,,,,,,
0.06,75,-43.1,18.6,0.001,,,,,,
0.11,79,-43.3,18.6,0.0135,,,,,,
0.235,109,-23.6,18.6,0.004,,,,,,
0.2865,139,-11.2,18.6,0.0015,,,,,,
0.33,163,-3.7,18.6,0.002,,,,,,
0.439,169,-0.6,18.6,0.0175,,,,,,
0.639,200,13.6,18.6,0.0065,,,,,,
0.839,230,27.5,18.6,0.0065,78.15,1.89,,,,NaN
1.039,260,49.1,18.6,0.0065,235.12,2.37,,,,NaN
1.148,290,74.7,18.7,0.0035,367.57,2.57,,,,NaN
1.1795,320,94.6,18.7,0.001,418.28,2.62,,,,NaN
1.212101,,112.7,,,530.01,,,,,NaN
1.2195,491,115.7,18.7,0,461.16,2.66,,,,NaN
1.251,521,129.2,18.7,0.001,510.38,2.71,,,,NaN
1.271,547,140,18.7,0.001,446.13,2.65,,,,NaN
1.291,570,149.7,18.7,0.001,418.04,2.62,,,,NaN
1.311,588,158.4,18.7,0.001,365.4,2.56,,,,NaN
1.3315,602,165.4,18.7,0.0015,319.42,2.5,,,,NaN
1.3615,614,173.8,18.7,0.0025,272.13,2.43,,,,NaN
1.396,626,181.3,18.7,0.003,220.73,2.34,,,,NaN
1.4435,636,189,18.7,0.0045,170.14,2.23,,,,NaN
1.5095,646,197,18.7,0.0065,,,,,,
1.599,656,204.9,18.7,0.009,,,,,,
1.723,664,212.9,18.7,0.0145,,,,,,
1.8925,673,220.9,18.7,0.019,,,,,,
2.0925,680,227.8,18.7,0.0275,,,,,,
Scope 1/1,Sample 1/9 (1_C_Sq1_20220701),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t ,E,T,dV/dt ,dE/dV ,log dE/dV ,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,80.5,18.4,NaN,,,,,,
0.02,28,0.8,18.4,0.0005,,,,,,
0.04,58,-35.4,18.4,0.0005,,,,,,
0.06,77,-42.5,18.4,0.001,,,,,,
0.11,80,-43,18.4,0.015,,,,,,
0.235,110,-23.7,18.4,0.004,,,,,,
0.289,141,-11.3,18.4,0.002,,,,,,
0.336,161,-3.5,18.4,0.0025,,,,,,
0.4535,168,-0.7,18.4,0.0165,,,,,,
0.6535,174,3.4,18.4,0.031,,,,,,
0.8535,205,25.1,18.4,0.0065,,,,,,
0.962,235,40.4,18.5,0.0035,182.31,2.26,,,,NaN
1.0485,265,56.2,18.5,0.003,246.07,2.39,,,,NaN
1.1165,295,73.3,18.5,0.002,300.88,2.48,,,,NaN
1.1625,326,89.3,18.5,0.0015,344.23,2.54,,,,NaN
1.196,356,102.6,18.5,0.001,381.63,2.58,,,,NaN
1.216,495,111.9,18.5,0,407.29,2.61,,,,NaN
1.236,523,118.7,18.5,0.0005,428.78,2.63,,,,NaN
1.255624,,127,,,430.65,,,,,NaN
1.2685,553,132.4,18.5,0.001,433.22,2.64,,,,NaN
1.2885,577,141.9,18.5,0.001,426.48,2.63,,,,NaN
1.3085,598,151.3,18.5,0.001,391.93,2.59,,,,NaN
1.3285,614,159,18.5,0.001,342.3,2.53,,,,NaN
1.3545,630,167.8,18.5,0.0015,293.96,2.47,,,,NaN
1.381,642,174.6,18.5,0.002,258.21,2.41,,,,NaN
1.422,654,182.8,18.5,0.0035,204.79,2.31,,,,
1.473,664,190.6,18.5,0.0055,157.82,2.2,,,,
1.543,674,198.4,18.5,0.0075,,,,,,
1.639,682,206.3,18.5,0.012,,,,,,
1.7745,691,214.5,18.5,0.0155,,,,,,
1.953,699,222.2,18.5,0.021,,,,,,
2.153,707,228.8,18.5,0.024,,,,,,
Scope 1/1,Sample 1/9 (2_C_Sq1_20220701),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t ,E,T,dV/dt ,dE/dV ,log dE/dV ,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,79.5,18.3,NaN,,,,,,
0.02,28,0,18.3,0.0005,,,,,,
0.04,58,-35.8,18.3,0.0005,,,,,,
0.06,74,-42.1,18.3,0.0015,,,,,,
0.11,77,-42.7,18.3,0.016,,,,,,
0.235,107,-23.6,18.3,0.004,,,,,,
0.2895,138,-10.7,18.4,0.002,,,,,,
0.3335,159,-3.1,18.4,0.002,,,,,,
0.4435,167,-0.4,18.4,0.0135,,,,,,
0.6435,197,12.7,18.4,0.0065,,,,,,
0.8435,228,26.6,18.4,0.0065,69.27,1.84,,,,NaN
1.0435,258,46.1,18.4,0.0065,223.29,2.35,,,,NaN
1.179,288,76.4,18.4,0.0045,389.57,2.59,,,,NaN
1.21,318,98.6,18.4,0.001,439.63,2.64,,,,NaN
1.224768,,109.4,,,563.95,,,,,NaN
1.23,348,113.2,18.4,0.0005,453.67,2.66,,,,NaN
1.25,492,122.8,18.5,0,461.3,2.66,,,,NaN
1.2755,520,133.8,18.5,0.001,525.56,2.72,,,,NaN
1.296,543,143.2,18.5,0.001,421.13,2.62,,,,NaN
1.316,562,152.1,18.5,0.001,383.52,2.58,,,,NaN
1.336,579,159.8,18.5,0.001,337.98,2.53,,,,NaN
1.36,594,167.8,18.5,0.0015,292.87,2.47,,,,NaN
1.388,606,174.9,18.5,0.0025,253.24,2.4,,,,NaN
1.4295,618,183.1,18.5,0.0035,200.92,2.3,,,,NaN
1.4815,629,190.9,18.5,0.005,154.71,2.19,,,,
1.5515,638,198.5,18.5,0.008,,,,,,
1.6525,646,206.7,18.5,0.0125,,,,,,
1.7865,654,214.6,18.5,0.0165,,,,,,
1.9705,663,222.6,18.5,0.021,,,,,,
2.1705,671,229.1,18.5,0.0265,,,,,,
Scope 1/1,Sample 1/9 (1_C_Sq1_20220630),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t ,E,T,dV/dt ,dE/dV ,log dE/dV ,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,79.7,18.3,NaN,,,,,,
0.02,28,-0.4,18.3,0.0005,,,,,,
0.04,58,-36.2,18.3,0.0005,,,,,,
0.06,77,-42.9,18.3,0.001,,,,,,
0.11,80,-43.2,18.3,0.0145,,,,,,
0.235,111,-23.4,18.4,0.004,,,,,,
0.2865,141,-10.7,18.4,0.0015,,,,,,
0.3275,163,-4.1,18.4,0.002,,,,,,
0.43,174,2.9,18.4,0.009,,,,,,
0.63,205,15.2,18.4,0.0065,,,,,,
0.83,235,27.6,18.4,0.0065,65.94,1.82,,,,NaN
1.03,265,48.7,18.4,0.0065,209.19,2.32,,,,NaN
1.1445,295,72.3,18.5,0.004,337.4,2.53,,,,NaN
1.1845,325,92.1,18.5,0.0015,392.09,2.59,,,,NaN
1.2045,356,105.2,18.5,0.0005,411.73,2.61,,,,NaN
1.221992,,112.7,,,495.1,,,,,NaN
1.2245,488,113.8,18.5,0,432.47,2.64,,,,NaN
1.253,518,124.7,18.5,0.001,485.73,2.69,,,,NaN
1.2765,544,135.8,18.5,0.001,437.24,2.64,,,,NaN
1.2965,564,145.2,18.5,0.001,419.31,2.62,,,,NaN
1.3165,582,154,18.5,0.001,381.4,2.58,,,,NaN
1.3365,598,161.8,18.5,0.001,331.02,2.52,,,,NaN
1.36,612,169.1,18.5,0.0015,291.48,2.46,,,,NaN
1.3915,625,176.9,18.5,0.0025,243.9,2.39,,,,NaN
1.433,635,184.6,18.5,0.004,193.5,2.29,,,,
1.49,645,192.6,18.5,0.0055,146.45,2.17,,,,
1.5645,653,200.3,18.5,0.009,,,,,,
1.67,659,208.6,18.5,0.0165,,,,,,
1.803,667,216.1,18.5,0.0175,,,,,,
2.002,674,224,18.5,0.0275,,,,,,
2.202,682,230.2,18.5,0.0265,,,,,,
Scope 1/1,Sample 1/9 (2_C_Sq1_20220630),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t ,E,T,dV/dt ,dE/dV ,log dE/dV ,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,79.7,18.3,NaN,,,,,,
0.02,28,0.6,18.3,0.0005,,,,,,
0.04,58,-34.8,18.3,0.0005,,,,,,
0.06,77,-41.8,18.3,0.001,,,,,,
0.11,82,-41.4,18.3,0.011,,,,,,
0.235,112,-22.3,18.4,0.004,,,,,,
0.2895,142,-10.2,18.4,0.002,,,,,,
0.339,165,-2.7,18.4,0.002,,,,,,
0.463,170,0,18.4,0.0235,,,,,,
0.663,200,14.6,18.4,0.0065,,,,,,
0.863,206,23.1,18.4,0.034,83.46,1.92,,,,NaN
1.063,236,47.6,18.4,0.0065,276.44,2.44,,,,NaN
1.1485,266,71.9,18.4,0.003,390.14,2.59,,,,NaN
1.173,296,91.1,18.4,0.001,426.73,2.63,,,,NaN
1.193,327,104.2,18.4,0.0005,440.28,2.64,,,,NaN
1.201301,,107.9,,,519.08,,,,,NaN
1.213,464,113.1,18.5,0,480.88,2.68,,,,NaN
1.2395,493,122.8,18.5,0.001,505.55,2.7,,,,NaN
1.2655,521,134.8,18.5,0.001,420.17,2.62,,,,NaN
1.2855,545,144.7,18.5,0.001,421.12,2.62,,,,NaN
1.3055,564,153.6,18.5,0.001,385.7,2.59,,,,NaN
1.3255,581,161.2,18.5,0.001,334.5,2.52,,,,NaN
1.3505,594,169.1,18.5,0.002,291.18,2.46,,,,NaN
1.3805,606,176.5,18.5,0.0025,246.92,2.39,,,,NaN
1.4215,618,184.4,18.5,0.0035,195.5,2.29,,,,
1.4755,627,192.1,18.5,0.006,149.69,2.18,,,,
1.55,637,200,18.5,0.0075,,,,,,
1.6515,646,207.9,18.5,0.0115,,,,,,
1.792,654,215.9,18.5,0.0175,,,,,,
1.9845,662,223.8,18.5,0.025,,,,,,
2.1845,669,230,18.5,0.03,,,,,,
Scope 1/1,Sample 1/9 (1_H_Sq2_20220712),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t ,E,T,dV/dt ,dE/dV ,log dE/dV ,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,87.1,18.2,NaN,,,,,,
0.02,28,28.5,18.2,0.0005,,,,,,
0.04,58,-3.3,18.3,0.0005,,,,,,
0.06,88,-16.5,18.3,0.0005,,,,,,
0.11,91,-17,18.3,0.016,,,,,,
0.235,121,-6.2,18.3,0.004,,,,,,
0.407,134,0.1,18.3,0.0135,,,,,,
0.607,164,14.4,18.3,0.0065,,,,,,
0.807,171,21.2,18.3,0.029,,,,,,
1.007,201,43.9,18.3,0.0065,211.73,2.33,,,,NaN
1.106,231,67.4,18.3,0.0035,297.29,2.47,,,,NaN
1.1385,262,83.7,18.3,0.001,329.2,2.52,,,,NaN
1.1585,292,95.2,18.4,0.0005,349.65,2.54,,,,NaN
1.183,309,101.5,18.4,0.0015,386.95,2.59,,,,NaN
1.244,460,122.6,18.4,0.0005,409.63,2.61,,,,NaN
1.264,484,131.8,18.4,0.001,379.21,2.58,,,,NaN
1.274478,,136.6,,,416.66,,,,,NaN
1.284,507,141,18.4,0.001,414.17,2.62,,,,NaN
1.304,527,150.2,18.4,0.001,405.87,2.61,,,,NaN
1.324,543,158.1,18.4,0.001,353.65,2.55,,,,NaN
1.3475,559,166.3,18.4,0.0015,305.13,2.48,,,,NaN
1.3735,572,173.3,18.4,0.002,264.77,2.42,,,,NaN
1.412,584,181.5,18.4,0.003,213.27,2.33,,,,NaN
1.459,594,189,18.5,0.0045,166.74,2.22,,,,
1.526,604,197,18.5,0.0065,,,,,,
1.6165,612,204.9,18.5,0.0105,,,,,,
1.7425,621,213,18.5,0.0145,,,,,,
1.909,629,220.8,18.5,0.022,,,,,,
2.109,636,227.8,18.5,0.0265,,,,,,
Scope 1/1,Sample 1/9 (2_H_Sq2_20220712),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t ,E,T,dV/dt ,dE/dV ,log dE/dV ,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,87.3,18.2,NaN,,,,,,
0.02,28,29.1,18.3,0.0005,,,,,,
0.04,58,-2,18.3,0.0005,,,,,,
0.06,88,-15.7,18.3,0.0005,,,,,,
0.11,91,-16.4,18.3,0.016,,,,,,
0.235,121,-5.9,18.3,0.004,,,,,,
0.417,132,-0.3,18.3,0.016,,,,,,
0.617,163,12.1,18.3,0.0065,,,,,,
0.817,193,26.7,18.3,0.0065,95.22,1.98,,,,NaN
1.017,223,45.9,18.3,0.0065,207.28,2.32,,,,NaN
1.156,253,74.2,18.3,0.0045,339.37,2.53,,,,NaN
1.193,283,95.3,18.3,0.001,397.39,2.6,,,,NaN
1.213,314,108.5,18.4,0.0005,414.96,2.62,,,,NaN
1.217406,,110.4,,,504.61,,,,,NaN
1.233,453,117,18.4,0,429.44,2.63,,,,NaN
1.262,483,128.2,18.4,0.001,485.2,2.69,,,,NaN
1.285,509,138.7,18.4,0.001,418.56,2.62,,,,NaN
1.305,531,148,18.4,0.001,400.23,2.6,,,,NaN
1.325,548,156,18.4,0.001,360.45,2.56,,,,NaN
1.348,564,164.5,18.4,0.0015,310.59,2.49,,,,NaN
1.372,578,171.5,18.4,0.0015,275.41,2.44,,,,NaN
1.4065,591,179.3,18.4,0.0025,227.35,2.36,,,,NaN
1.452,602,187.1,18.4,0.004,177.91,2.25,,,,
1.5135,612,195,18.4,0.0065,134.6,2.13,,,,
1.5965,621,202.8,18.4,0.0095,,,,,,
1.713,630,210.9,18.4,0.0135,,,,,,
1.8685,638,218.8,18.4,0.0195,,,,,,
2.0685,647,226.3,18.4,0.0225,,,,,,
2.2685,654,231.9,18.4,0.0275,,,,,,